name,price,info
არაყი Grey Goose - 0.5L,"94,90 ₾","ბრენდიGrey Goose წარმოშობასაფრანგეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატისუფთა, ნუში,წიწაკა გემოანისი, წიწაკა, პარფუმი ალკ. შემცველობა40% მოცულობა0.5"
არაყი Beluga Transatlantic - 0.7L,"139,90 ₾",ბრენდიBeluga წარმოშობარუსეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიცოცხალი გემორბილი ალკ. შემცველობა40% მოცულობა0.7
არაყი Beluga Transatlantic - 0.7L,"139,90 ₾",ბრენდიBeluga წარმოშობარუსეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიცოცხალი გემორბილი ალკ. შემცველობა40% მოცულობა0.7
არაყი Beluga - 0.5L,"94,90 ₾","ბრენდიBeluga წარმოშობარუსეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიმდიდარი,სუფთა გემორბილი ალკ. შემცველობა40% მოცულობა0.5"
არაყი Beluga - 0.5L,"94,90 ₾","ბრენდიBeluga წარმოშობარუსეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიმდიდარი,სუფთა გემორბილი ალკ. შემცველობა40% მოცულობა0.5"
არაყი Nemiroff De Luxe - 0.5L,"22,70 ₾","ბრენდიNemiroff წარმოშობაუკრაინა ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიყვავილოვანი,ხორბალი გემოყვავილოვანი, ხორბალი ალკ. შემცველობა40% მოცულობა0.5"
არაყი Nemiroff De Luxe - 0.5L,"22,70 ₾","ბრენდიNemiroff წარმოშობაუკრაინა ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიყვავილოვანი,ხორბალი გემოყვავილოვანი, ხორბალი ალკ. შემცველობა40% მოცულობა0.5"
"არაყი Finlandia, წითელი კენკრის - 1L","49,90 ₾","ბრენდიFinlandia წარმოშობაფინეთი ტექნოლოგიაარომატული არაყი ფერიწითელი არომატიკენკროვანი ხილი გემოწითელი კენკროვანი ხილი, ვანილი ალკ. შემცველობა37.5% მოცულობა1"
"არაყი Finlandia, წითელი კენკრის - 1L","49,90 ₾","ბრენდიFinlandia წარმოშობაფინეთი ტექნოლოგიაარომატული არაყი ფერიწითელი არომატიკენკროვანი ხილი გემოწითელი კენკროვანი ხილი, ვანილი ალკ. შემცველობა37.5% მოცულობა1"
არაყი Celsius Classic - 1L,"34,20 ₾","ბრენდიCelsius წარმოშობაუკრაინა ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატისუფთა გემომსუბუქი, ხავერდოვანი ალკ. შემცველობა40% მოცულობა1"
არაყი Celsius Classic - 1L,"34,20 ₾","ბრენდიCelsius წარმოშობაუკრაინა ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატისუფთა გემომსუბუქი, ხავერდოვანი ალკ. შემცველობა40% მოცულობა1"
"Absolut, მოცხარის არაყი - 1L","54,90 ₾",ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიკენკროვანი ხილი გემოშავი მოცხარი ალკ. შემცველობა40% მოცულობა1
"Absolut, მოცხარის არაყი - 1L","54,90 ₾",ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიკენკროვანი ხილი გემოშავი მოცხარი ალკ. შემცველობა40% მოცულობა1
"Absolut, ლაიმის არაყი - 0.7L","29,90 ₾",ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე გემოახლად გამოწურული ლაიმი ალკ. შემცველობა40% მოცულობა0.7
"Absolut, ლაიმის არაყი - 0.7L","29,90 ₾",ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე გემოახლად გამოწურული ლაიმი ალკ. შემცველობა40% მოცულობა0.7
არაყი Danzka - 0.7L,"46,20 ₾","ბრენდიDanzka წარმოშობადანია ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიდელიკატური,მდიდარი გემოდელიკატური,მდიდარი ალკ. შემცველობა40% მოცულობა0.7"
არაყი Danzka - 0.7L,"46,20 ₾","ბრენდიDanzka წარმოშობადანია ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიდელიკატური,მდიდარი გემოდელიკატური,მდიდარი ალკ. შემცველობა40% მოცულობა0.7"
არაყი Absolut Citron - 1L,"54,90 ₾","ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიციტრუსი გემოლიმონი, ლაიანი ალკ. შემცველობა40% მოცულობა1"
არაყი Absolut Citron - 1L,"54,90 ₾","ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიციტრუსი გემოლიმონი, ლაიანი ალკ. შემცველობა40% მოცულობა1"
"არაყი Smirnoff, წითელი - 1L","46,50 ₾","ბრენდიSmirnoff წარმოშობაინგლისი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე გემოკლასიკური არაყი,რბილი, სასიამოვნო ალკ. შემცველობა40% მოცულობა1"
"არაყი Smirnoff, წითელი - 1L","46,50 ₾","ბრენდიSmirnoff წარმოშობაინგლისი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე გემოკლასიკური არაყი,რბილი, სასიამოვნო ალკ. შემცველობა40% მოცულობა1"
"Finlandia, შავი მოცხარის არაყი - 1L","49,90 ₾","ბრენდიFinlandia წარმოშობაფინეთი ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიკენკროვანი ხილი გემოწიწაკა, შავი მოცხარი ალკ. შემცველობა37.5% მოცულობა1"
"Finlandia, შავი მოცხარის არაყი - 1L","49,90 ₾","ბრენდიFinlandia წარმოშობაფინეთი ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიკენკროვანი ხილი გემოწიწაკა, შავი მოცხარი ალკ. შემცველობა37.5% მოცულობა1"
არაყი Absolut Blue - 0.5L,"31,50 ₾","ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე გემოდელიკატური, მარცვლეული, სხვადასხვა ჩირი ალკ. შემცველობა40% მოცულობა0.5"
არაყი Absolut Blue - 0.5L,"31,50 ₾","ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე გემოდელიკატური, მარცვლეული, სხვადასხვა ჩირი ალკ. შემცველობა40% მოცულობა0.5"
არაყი Reyka - 0.7L,"72,90 ₾","ბრენდიReyka წარმოშობაისლანდია ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიალაო, ხორბალი გემოვანილი, მინერალები, ციტრუსი ალკ. შემცველობა40% მოცულობა0.7"
არაყი Reyka - 0.7L,"72,90 ₾","ბრენდიReyka წარმოშობაისლანდია ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიალაო, ხორბალი გემოვანილი, მინერალები, ციტრუსი ალკ. შემცველობა40% მოცულობა0.7"
არაყი Finlandia - 1.75L,"78,50 ₾","ბრენდიFinlandia წარმოშობაფინეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიცოცხალი, ქერი გემომშრალი, გამჭირვალე ალკ. შემცველობა40% მოცულობა1.75"
არაყი Finlandia - 1.75L,"78,50 ₾","ბრენდიFinlandia წარმოშობაფინეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიცოცხალი, ქერი გემომშრალი, გამჭირვალე ალკ. შემცველობა40% მოცულობა1.75"
არაყი Beluga - 0.7L,"122,90 ₾","ბრენდიBeluga წარმოშობარუსეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიმდიდარი,სუფთა გემორბილი ალკ. შემცველობა40% მოცულობა0.7"
არაყი Beluga - 0.7L,"122,90 ₾","ბრენდიBeluga წარმოშობარუსეთი ტექნოლოგიაკლასიკური არაყი ფერიგამჭვირვალე არომატიმდიდარი,სუფთა გემორბილი ალკ. შემცველობა40% მოცულობა0.7"
"არაყი Absolute, ველური კენკრა - 1L","54,90 ₾","ბრენდიAbsolut წარმოშობაშვედეთი ტექნოლოგიაარომატული არაყი ფერიგამჭვირვალე არომატიკენკრა გემოკენკრა, დაბალანსებული ალკ. შემცველობა38% მოცულობა1"
